Set Name,Greek Term,English Definition
Ελληνικά Γ (σελ. 245),η ανοικοδόμηση,reconstruction
Ελληνικά Γ (σελ. 245),η απόπειρα,attempt
Ελληνικά Γ (σελ. 245),η έκταση,area
Ελληνικά Γ (σελ. 245),το συμφέρον,personal interest
Ελληνικά Γ (σελ. 245),η αναψυχή,leisure
Ελληνικά Γ (σελ. 245),η παράταξη,political party
Ελληνικά Γ (σελ. 245),συνειδητοποιώ,to realize
Ελληνικά Γ (σελ. 245),η συνέπεια,consequence
Ελληνικά Γ (σελ. 245),ανυπολόγιστες συνέπειες,immeasurable consequences
Ελληνικά Γ (σελ. 245),στο μέρος του,on his side
Ελληνικά Γ (σελ. 245),η αντίσταση,resistance
Ελληνικά Γ (σελ. 245),το σύνθημα,slogan/motto
Ελληνικά Γ (σελ. 245),τοπικοί παράγοντες,local figures/leaders
Ελληνικά Γ (σελ. 245),η συγκέντρωση,protest rally
Ελληνικά Γ (σελ. 245),πορεία διαμαρτυρίας,protest demonstration
Ελληνικά Γ (σελ. 245),κάτω τα χέρια από,lower the hands from
Ελληνικά Γ (σελ. 245),το ξεπούλημα,clearance sale
Ελληνικά Γ (σελ. 245),η επιτροπή αγώνα,protest committee
Michael Zafiropoulos 7,απελευθερώνω,release
Michael Zafiropoulos 7,ο σύμβουλος,advisor/counselor/mentor
Michael Zafiropoulos 7,επενδύω,to invest
Michael Zafiropoulos 7,ανατροφοδότηση,feedback
Michael Zafiropoulos 7,η διαπραγμάτευση,negotiation
Michael Zafiropoulos 7,διαθέσιμος,available
Michael Zafiropoulos 7,τα εργαλεία,tools
Michael Zafiropoulos 7,ασύγχρονη εκπαίδευση,asynchronous learning
Michael Zafiropoulos 7,η πρόσβαση,access
Michael Zafiropoulos 7,προωθώ,to promote
Michael Zafiropoulos 7,το εκπαιδευτικό πρόγραμμα,educational program
Michael Zafiropoulos 7,η εκπαίδευση,education/training
Michael Zafiropoulos 7,η ιδέα,idea/concept
Michael Zafiropoulos 7,ερασιτέχνης,amateur
Ελληνικά Γ (σελ. 244),η πρόοδος,progress
Ελληνικά Γ (σελ. 244),η επένδυση,investment
Ελληνικά Γ (σελ. 244),αναβαθμίζω,upgrade
Ελληνικά Γ (σελ. 244),επιχειρηματικός,entrepreneurial
Ελληνικά Γ (σελ. 244),το συμβούλιο,board/council/committee
Ελληνικά Γ (σελ. 244),η αναψυχή,leisure
Ελληνικά Γ (σελ. 244),προσφέρω,to offer/present
Ελληνικά Γ (σελ. 244),ταλαιπωρημένος,harassed
Ελληνικά Γ (σελ. 244),αντιτίθεμαι,to oppose
Ελληνικά Γ (σελ. 244),η δικαιολογία,excuse/justification
Ελληνικά Γ (σελ. 244),η επιβάρυνση,burden
Ελληνικά Γ (σελ. 244),σύγχρονος,modern/contemporary
Ελληνικά Γ (σελ. 244),εγκρίνω,to approve
Ελληνικά Γ (σελ. 244),αρμόδιος,responsible/person in charge
Ελληνικά Γ (σελ. 244),ο φορέας,sector
Ελληνικά Γ (σελ. 244),δηλώνω,to declare/to state
Ελληνικά Γ (σελ. 244),ο εκπρόσωπος,representative
Ελληνικά Γ (σελ. 244),η παράταξη / το πολιτικό κόμμα,political party
Δέντρο των Ψυχών (γ' μέρος),η συγκέντρωση,gathering
Δέντρο των Ψυχών (γ' μέρος),η κινητοποίηση,mobilization
Δέντρο των Ψυχών (γ' μέρος),η υπόσχεση,promise
Δέντρο των Ψυχών (γ' μέρος),ταυτόχρονα,at the same time/simultaneously
Δέντρο των Ψυχών (γ' μέρος),η δέσμευση,commitment
Δέντρο των Ψυχών (γ' μέρος),οι επιζώντες,survivors
Δέντρο των Ψυχών (γ' μέρος),το θύμα,victim
Δέντρο των Ψυχών (γ' μέρος),παρών,present
Δέντρο των Ψυχών (γ' μέρος),δηλώνω,to declare
Δέντρο των Ψυχών (γ' μέρος),γενναίος,brave
Δέντρο των Ψυχών (γ' μέρος),το δείγμα,sample
